"","Factor 1","Factor 2","Factor 3","Factor 4"
"DST",1.09141119537526e-05,6.54421501167235e-06,5.22668369740131e-06,-8.27988878882024e-06
"PCLO",-4.15784197684843e-05,-2.84131110674934e-05,-6.95833159625181e-06,-1.12380776045029e-05
"ENPP2",-6.04855085839517e-06,5.09950496052625e-06,3.22526148011093e-06,6.9585428263963e-07
"NHS",5.64885112908087e-06,2.13994353543967e-05,-2.20290021388792e-05,7.35995126888156e-06
"PCDH11X",-5.53668951397412e-06,-1.24217995107756e-05,3.48393655258405e-06,-2.86718818642839e-06
"DOCK11",7.01660837876261e-07,-2.12967843253864e-05,-9.8795226222137e-06,3.99935242967331e-06
"GRHL3",-1.98359407477255e-06,-1.88888952834532e-05,-6.51786467642523e-06,7.55554719944485e-06
"PCDH15",3.20462891068019e-06,-1.33176299641491e-05,8.88540171217755e-07,-2.53308576247946e-06
"OR5D18",-3.74079718312714e-07,-9.5092093488347e-07,-1.72935888258507e-05,-4.20760352426441e-06
"PIK3C2G",-5.4296165217238e-06,-6.10223696639878e-06,-3.48565208696527e-06,4.77282719657524e-06
"LUM",3.9445197108634e-10,-6.433639732073e-10,7.74280140003469e-10,-1.62041102758081e-10
"PAN3",3.9445197108634e-10,-6.433639732073e-10,7.74280140003469e-10,-1.62041102758081e-10
"LRFN5",-5.61787019250914e-05,-3.51800154021475e-05,5.6229605434055e-06,7.67172332416521e-06
"ADCY9",-3.21432003147493e-06,6.40563939668937e-07,3.37424580720835e-06,8.9310560724698e-06
"HYDIN",-6.19846423433046e-06,-1.20778204291128e-05,-3.23548033520638e-06,4.30118552685599e-06
"TJP3",-6.45446925773285e-06,-6.1253308558662e-06,-3.32114268530859e-06,4.37677772424649e-06
"POTEE",-4.26318274548976e-06,1.19342121251975e-05,2.29358556680381e-06,-3.09054280478449e-06
"THSD7B",-4.47117008661735e-06,-2.454964487697e-05,-1.79308790393407e-05,-4.10104030379443e-06
"XIRP2",-6.69516248308355e-06,-7.53545691623003e-07,4.72139481644263e-06,1.40792371894349e-06
"SEMG1",3.9445197108634e-10,-6.433639732073e-10,7.74280140003469e-10,-1.62041102758081e-10
"FRAS1",-4.95593155847018e-07,-1.66643549164291e-05,-1.17815834528301e-05,-9.6828443929553e-06
"SLC6A3",8.1704956755857e-06,-2.81615593848983e-05,-3.69643530575559e-05,-1.04919527075253e-05
"FAT2",-7.31422096578171e-06,-3.01423551718472e-05,1.87492844361259e-06,7.78849368998635e-07
"ZNF292",8.11653262644541e-06,3.1872266845312e-05,-4.78856563859154e-05,-7.84809230935934e-08
"ZPBP",3.9445197108634e-10,-6.433639732073e-10,7.74280140003469e-10,-1.62041102758081e-10
"POM121L12",-2.00550402951194e-05,-1.32195109472377e-05,1.15993743747822e-05,3.56674604518048e-06
"TRPA1",7.29365365259582e-06,-6.91043442202499e-06,1.11831077447277e-05,-8.3071262224621e-07
"DOCK8",4.98023723594088e-07,2.43303725255828e-06,4.86952831124654e-06,-1.82681776550453e-06
"DMD",-3.54992812390265e-06,-2.2951257051318e-05,3.99411106855041e-07,4.77166850032518e-06
"MED12",-5.37953883394948e-06,-2.23918777919607e-05,-4.06627486881916e-06,1.26931690829224e-05
"ODZ1",3.9445197108634e-10,-6.433639732073e-10,7.74280140003469e-10,-1.62041102758081e-10
"PLA2G4A",-1.13612304630806e-06,-1.35567534016445e-05,1.50179323554767e-06,-2.72299325843051e-06
"A2M",-4.60209139419021e-06,-1.63325530593283e-05,-6.41045789961936e-06,-7.67189817452163e-07
"RYR3",5.01259228258277e-06,-3.27112793456763e-05,-3.04441164189484e-05,-1.17548588605132e-05
"USP6",-1.20182094178745e-05,2.52106019615894e-06,6.1437472140824e-06,1.41025168431952e-06
"DNAH17",-1.40190320507827e-06,9.9413364296197e-06,4.66709980173619e-06,-6.57454802421853e-06
"KIAA1012",-1.32949508042657e-05,-1.85786248039221e-05,5.94361199546256e-06,6.46551143290708e-06
"XDH",-6.66941286908695e-06,-1.85741355380742e-05,-1.09622706077062e-05,1.75193199538626e-05
"UGT2A3",1.23462586998357e-06,-5.57149064661644e-07,4.24552035838133e-06,-2.8573058443726e-06
"GPR98",-2.3254870029632e-05,1.30167309180251e-05,-1.01232390079531e-05,-9.59672070166562e-06
"DSP",-6.0317370298435e-06,-4.32981232734164e-06,-4.38311985817563e-07,-3.51337007487018e-06
"FAM83H",-1.01222867670003e-05,-1.6337586203008e-05,-1.77437887032283e-05,-1.15159473352833e-05
"ACAN",-5.11417056259234e-07,1.96635828615399e-05,2.96653047371365e-06,8.98567759577418e-06
"NOTCH3",-3.76304842575337e-06,2.33101000048919e-05,-8.92996013135416e-06,1.54453027789714e-05
"UGGT1",-4.79519212603918e-06,2.20819110836601e-05,-3.03008982882602e-06,7.67921119404491e-06
"TP63",-1.24033540487289e-05,-2.38602406170685e-05,-2.66868642029294e-06,-2.58087493421044e-06
"NLRP3",-1.01720343081979e-05,1.22870624181814e-05,-7.34975583327468e-06,-1.00559318525484e-05
"AHNAK",-2.35256848100107e-05,-3.26956105709542e-05,-1.85975968634011e-05,-1.09897609945619e-05
